obs_id,id,date_range_start,adopt_type,First_Detected_Domain,adopt_days,vr_type,online_spend,total_spend,dwell_time_median,CR_visit,store_quantity_city,average_open_hours,store_size,Sitemap_Size,rank,tech_spend,category
0,1,2021/11/1,never,2022/1/29,0,8th Wall,175.8395531,7596.729613,44.23286991,0.102110763,1.00499002,8.846410803,16723.0576,1098,4356,"$10,000 ",Automotive And Vehicles
1,1,2021/10/1,never,2022/1/29,0,8th Wall,143.1683158,6741.348211,41.77033493,0.142167361,1.005774783,8.839045791,17033.64211,1098,4356,"$10,000 ",Automotive And Vehicles
2,1,2021/9/1,never,2022/1/29,0,8th Wall,121.3738561,7278.541898,42.17532468,0.072314054,1.004012036,8.845928571,17023.26274,1098,4356,"$10,000 ",Automotive And Vehicles
3,1,2021/8/1,never,2022/1/29,0,8th Wall,134.3834102,7471.600663,39.69932757,0.078176046,1.003857281,8.831637564,17034.82709,1098,4356,"$10,000 ",Automotive And Vehicles
4,1,2021/7/1,never,2022/1/29,0,8th Wall,124.6092181,7699.227857,38.77171815,0.072839516,1.002904163,8.815798563,16773.16699,1098,4356,"$10,000 ",Automotive And Vehicles
5,1,2021/5/1,never,2022/1/29,0,8th Wall,146.4972517,8550.496653,39.28503401,0.066667229,1.001362398,8.798577275,16845.02721,1098,4356,"$10,000 ",Automotive And Vehicles
6,1,2021/4/1,never,2022/1/29,0,8th Wall,112.8870229,8547.022452,39.66841603,0.074227449,1.002870813,8.811083037,16742.35305,1098,4356,"$10,000 ",Automotive And Vehicles
7,1,2021/3/1,never,2022/1/29,0,8th Wall,138.0188501,9879.197041,38.89679548,0.083030642,1.002835539,8.795301107,16579.89161,1098,4356,"$10,000 ",Automotive And Vehicles
8,1,2021/2/1,never,2022/1/29,0,8th Wall,104.2806517,6623.228473,46.70621181,0.086419329,1.00408998,8.839978134,16855.33809,1098,4356,"$10,000 ",Automotive And Vehicles
9,1,2021/1/1,never,2022/1/29,0,8th Wall,91.45224631,7151.774089,49.59802956,0.083751073,1.003956479,8.838880271,16910.67389,1098,4356,"$10,000 ",Automotive And Vehicles
10,1,2022/1/1,never,2022/1/29,0,8th Wall,172.7368458,5974.653083,44.67748479,0.077294152,1.00509684,8.86172068,16960.63489,1098,4356,"$10,000 ",Automotive And Vehicles
11,1,2022/2/1,adopt,2022/1/29,3 days 00:00:00,8th Wall,161.6389832,6515.044518,42.82389937,0.077668117,1.003154574,8.84172419,16913.54717,1098,4356,"$10,000 ",Automotive And Vehicles
12,1,2022/9/1,adopt,2022/1/29,215 days 00:00:00,8th Wall,202.6336265,7295.044595,44.91798419,0.097588912,1.004965243,8.815806223,16860.82213,1098,4356,"$10,000 ",Automotive And Vehicles
13,1,2022/8/1,adopt,2022/1/29,184 days 00:00:00,8th Wall,241.9373401,8137.653605,45.10333642,0.099024851,1.007469655,8.829280413,16803.62929,1098,4356,"$10,000 ",Automotive And Vehicles
14,1,2022/6/1,adopt,2022/1/29,123 days 00:00:00,8th Wall,192.9923638,7509.030923,46.77654663,0.190387808,1.004638219,8.80887225,16732.50693,1098,4356,"$10,000 ",Automotive And Vehicles
15,1,2022/5/1,adopt,2022/1/29,92 days 00:00:00,8th Wall,164.4262062,6980.50432,45.88969072,0.080756588,1.003102378,8.822941263,16990.19794,1098,4356,"$10,000 ",Automotive And Vehicles
16,1,2022/4/1,adopt,2022/1/29,62 days 00:00:00,8th Wall,152.3430397,6915.363437,43.86592449,0.069709293,1.006822612,8.852164293,17012.97773,1098,4356,"$10,000 ",Automotive And Vehicles
17,1,2022/3/1,adopt,2022/1/29,31 days 00:00:00,8th Wall,170.8073745,7747.128726,42.49855212,0.078437185,1.002904163,8.830857972,16890.23263,1098,4356,"$10,000 ",Automotive And Vehicles
18,1,2022/10/1,adopt,2022/1/29,245 days 00:00:00,8th Wall,261.830149,7601.114489,46.40119166,0.100615879,1.003988036,8.812241846,16890.63654,1098,4356,"$10,000 ",Automotive And Vehicles
19,1,2020/12/1,never,2022/1/29,0,8th Wall,125.2238446,7762.855772,47.35545723,0.08042047,1.00295858,8.828669854,16845.54081,1098,4356,"$10,000 ",Automotive And Vehicles
20,1,2020/11/1,never,2022/1/29,0,8th Wall,114.6818039,7256.974765,46.58186275,0.08388756,1.003937008,8.836444008,16976.22647,1098,4356,"$10,000 ",Automotive And Vehicles
21,1,2020/10/1,never,2022/1/29,0,8th Wall,90.9582655,7470.396056,45.35901163,0.069363241,1.002915452,8.820179092,16675.64147,1098,4356,"$10,000 ",Automotive And Vehicles
22,1,2020/9/1,never,2022/1/29,0,8th Wall,50.40971457,7124.546181,44.35285433,0.073040215,1.001972387,8.844531581,16780.86024,1098,4356,"$10,000 ",Automotive And Vehicles
23,1,2020/8/1,never,2022/1/29,0,8th Wall,89.66581197,6904.35347,42.04273504,0.077435068,1,8.845851743,16612.48547,1098,4356,"$10,000 ",Automotive And Vehicles
24,1,2020/7/1,never,2022/1/29,0,8th Wall,37.49253891,7712.431527,39.96935798,0.0684374,1.001949318,8.854875837,16851.65953,1098,4356,"$10,000 ",Automotive And Vehicles
25,1,2020/6/1,never,2022/1/29,0,8th Wall,28.13778543,7986.410965,40.35925197,0.064971672,1.004945598,8.864370329,17007.00787,1098,4356,"$10,000 ",Automotive And Vehicles
26,1,2020/5/1,never,2022/1/29,0,8th Wall,6.497965587,7152.877915,41.67307692,0.068820634,1.004065041,8.867258883,17072.58097,1098,4356,"$10,000 ",Automotive And Vehicles
27,1,2020/4/1,never,2022/1/29,0,8th Wall,14.51074627,5422.484914,48.7445465,0.074442425,1.001149425,8.937582291,17244.41906,1098,4356,"$10,000 ",Automotive And Vehicles
28,1,2020/3/1,never,2022/1/29,0,8th Wall,3.682870564,5997.997933,48.59498956,0.065739292,1.001044932,8.858450389,17099.9405,1098,4356,"$10,000 ",Automotive And Vehicles
29,1,2020/2/1,never,2022/1/29,0,8th Wall,13.87315457,6229.817592,46.04731861,0.05287128,1.003164557,8.860341713,17062.796,1098,4356,"$10,000 ",Automotive And Vehicles
30,1,2020/1/1,never,2022/1/29,0,8th Wall,12.31096213,5838.062016,48.54350051,0.043605358,1.002051282,8.839541862,17065.00921,1098,4356,"$10,000 ",Automotive And Vehicles
31,1,2019/12/1,never,2022/1/29,0,8th Wall,6.776797927,5523.848549,46.93989637,0.052355929,1.001037344,8.873349651,16995.09119,1098,4356,"$10,000 ",Automotive And Vehicles
32,1,2019/11/1,never,2022/1/29,0,8th Wall,11.04700975,5489.723738,44.52221018,0.052663785,1,8.85791757,17174.57096,1098,4356,"$10,000 ",Automotive And Vehicles
33,1,2019/10/1,never,2022/1/29,0,8th Wall,5.850939891,5595.69294,44.80710383,0.050854362,1.002190581,8.860772834,17181.19235,1098,4356,"$10,000 ",Automotive And Vehicles
34,1,2019/8/1,never,2022/1/29,0,8th Wall,11.78893684,6099.080979,41.05631579,0.053911514,1.001053741,8.87223393,17144.71684,1098,4356,"$10,000 ",Automotive And Vehicles
35,1,2019/7/1,never,2022/1/29,0,8th Wall,12.71694985,6495.551842,41.685261,0.0595214,1.003080082,8.862747253,17111.39611,1098,4356,"$10,000 ",Automotive And Vehicles
36,1,2019/6/1,never,2022/1/29,0,8th Wall,17.58572816,6003.433538,41.50053937,0.053877041,1.001079914,8.882614409,17277.51241,1098,4356,"$10,000 ",Automotive And Vehicles
37,1,2019/5/1,never,2022/1/29,0,8th Wall,8.936631908,6409.753452,41.1261731,0.047032847,1.002089864,8.854794214,17082.97602,1098,4356,"$10,000 ",Automotive And Vehicles
38,1,2019/4/1,never,2022/1/29,0,8th Wall,7.754109731,6479.353768,42.67080745,0.053386315,1.001036269,8.850296077,16992.16667,1098,4356,"$10,000 ",Automotive And Vehicles
39,1,2019/3/1,never,2022/1/29,0,8th Wall,24.9911292,7009.10056,41.58850458,0.054603538,1.00101833,8.87194501,17176.10071,1098,4356,"$10,000 ",Automotive And Vehicles
40,1,2019/2/1,never,2022/1/29,0,8th Wall,2.579429348,5557.261766,47.3763587,0.05297186,1,8.852581522,17633.25543,1098,4356,"$10,000 ",Automotive And Vehicles
41,1,2019/1/1,never,2022/1/29,0,8th Wall,9.890998937,5649.101987,50.3501594,0.079754663,1.002129925,8.892022165,16951.86504,1098,4356,"$10,000 ",Automotive And Vehicles
42,2,2021/11/1,never,2022/2/15,0,8th Wall,15.97099548,1998.412172,29.07013575,1.201649494,1.163157895,11.92243051,6066.547511,6398,423105,"$10,000 ",Business And Industrial
43,2,2021/10/1,never,2022/2/15,0,8th Wall,46.94685841,2035.064204,27.82964602,1.163214035,1.141414141,11.93141593,6390.884956,6398,423105,"$10,000 ",Business And Industrial
44,2,2021/9/1,never,2022/2/15,0,8th Wall,43.10034632,2347.840087,29.21861472,1.395056288,1.149253731,11.93336425,5246.060606,6398,423105,"$10,000 ",Business And Industrial
